car_id,lane,change_in_velocity,initial_velocity,final_velocity,ahead_distance,label,time_to_destination
4,0,0.0,5.0,5.0,30,Maintain,0.6940000000000002
5,1,0.0,3.088275000000001,3.088275000000001,25,Maintain,0.5910000000000002
6,0,-0.10000000000000009,3.4882750000000016,3.5882750000000017,79,Accelerate,0.5060000000000002
7,2,0.0,5.0,5.0,60,Maintain,0.4900000000000002
8,2,0.0,5.0,5.0,35,Maintain,0.2030000000000003
9,1,0.0,0.11633999999999976,0.11633999999999976,21,Maintain,0.16900000000000004
3,1,-0.10000000000000009,2.899970000000002,2.999970000000002,77,Accelerate,0.796
4,0,0.0,5.0,5.0,30,Maintain,0.7110000000000001
5,1,0.0,3.088275000000001,3.088275000000001,25,Maintain,0.6080000000000001
6,0,-0.10000000000000009,3.5882750000000017,3.6882750000000017,80,Accelerate,0.5230000000000001
7,2,0.0,5.0,5.0,60,Maintain,0.5070000000000001
8,2,0.0,5.0,5.0,35,Maintain,0.2200000000000002
9,1,0.0,0.11633999999999976,0.11633999999999976,24,Maintain,0.18599999999999994
3,1,-0.10000000000000009,2.999970000000002,3.099970000000002,79,Accelerate,0.813
4,0,0.0,5.0,5.0,30,Maintain,0.728
5,1,0.0,3.088275000000001,3.088275000000001,25,Maintain,0.625
6,0,-0.10000000000000009,3.6882750000000017,3.788275000000002,81,Accelerate,0.54
7,2,0.0,5.0,5.0,60,Maintain,0.524
8,2,0.0,5.0,5.0,35,Maintain,0.2370000000000001
9,1,0.0,0.11633999999999976,0.11633999999999976,27,Maintain,0.20299999999999985
3,1,2.899970000000002,3.099970000000002,0.2,81,Slow down,0.8299999999999998
4,0,0.0,5.0,5.0,30,Maintain,0.7449999999999999
5,1,0.0,3.088275000000001,3.088275000000001,25,Maintain,0.6419999999999999
6,0,-0.10000000000000009,3.788275000000002,3.888275000000002,82,Accelerate,0.5569999999999999
7,2,0.0,5.0,5.0,60,Maintain,0.5409999999999999
8,2,0.0,5.0,5.0,35,Maintain,0.254
9,1,0.0,0.11633999999999976,0.11633999999999976,30,Maintain,0.21999999999999975
10,0,0.0,5.0,5.0,33,Maintain,0.016000000000000014
3,1,-0.10000000000000003,0.2,0.30000000000000004,86,Accelerate,0.8470000000000002
4,0,0.0,5.0,5.0,30,Maintain,0.7620000000000002
5,1,0.0,3.088275000000001,3.088275000000001,22,Maintain,0.6590000000000003
6,0,-0.10000000000000009,3.888275000000002,3.988275000000002,83,Accelerate,0.5740000000000003
7,2,0.0,5.0,5.0,60,Maintain,0.5580000000000003
8,2,0.0,5.0,5.0,35,Maintain,0.27100000000000035
9,1,-0.09999999999999999,0.11633999999999976,0.21633999999999975,33,Accelerate,0.2370000000000001
10,0,0.0,5.0,5.0,32,Maintain,0.03300000000000036
11,2,0.0,5.0,5.0,25,Maintain,0.017000000000000348
3,1,-0.09999999999999998,0.30000000000000004,0.4,91,Accelerate,0.8630000000000002
4,0,0.0,5.0,5.0,30,Maintain,0.7780000000000002
5,1,0.005854999999999944,3.088275000000001,3.0824200000000013,19,Slow down,0.6750000000000003
6,0,-0.10000000000000009,3.988275000000002,4.088275000000002,84,Accelerate,0.5900000000000003
7,2,0.0,5.0,5.0,60,Maintain,0.5740000000000003
8,2,0.0,5.0,5.0,35,Maintain,0.28700000000000037
9,1,-0.09999999999999998,0.21633999999999975,0.31633999999999973,36,Accelerate,0.2530000000000001
10,0,0.0,5.0,5.0,31,Maintain,0.04900000000000038
11,2,0.0,5.0,5.0,25,Maintain,0.03300000000000036
3,1,-0.09999999999999998,0.4,0.5,96,Accelerate,0.8800000000000001
4,0,0.0,5.0,5.0,30,Maintain,0.7950000000000002
5,1,0.0876800000000002,3.0824200000000013,2.994740000000001,16,Slow down,0.6920000000000002
6,0,-0.09999999999999964,4.088275000000002,4.188275000000002,85,Accelerate,0.6070000000000002
7,2,0.0,5.0,5.0,60,Maintain,0.5910000000000002
8,2,0.0,5.0,5.0,35,Maintain,0.30400000000000027
9,1,-0.09999999999999998,0.31633999999999973,0.4163399999999997,39,Accelerate,0.27
10,0,0.0,5.0,5.0,30,Maintain,0.06600000000000028
11,2,0.0,5.0,5.0,25,Maintain,0.050000000000000266
3,1,-0.09999999999999998,0.5,0.6,101,Accelerate,0.8979999999999999
4,0,0.0,5.0,5.0,30,Maintain,0.813
5,1,0.25455499999999986,2.994740000000001,2.740185000000001,13,Slow down,0.71
6,0,-0.09999999999999964,4.188275000000002,4.288275000000001,86,Accelerate,0.625
7,2,0.0,5.0,5.0,60,Maintain,0.609
8,2,0.0,5.0,5.0,35,Maintain,0.32200000000000006
9,1,-0.09999999999999998,0.4163399999999997,0.5163399999999997,42,Accelerate,0.2879999999999998
10,0,0.0,5.0,5.0,29,Maintain,0.08400000000000007
11,2,0.0,5.0,5.0,25,Maintain,0.06800000000000006
3,1,-0.09999999999999998,0.6,0.7,105,Accelerate,0.9139999999999999
4,0,0.0,5.0,5.0,27,Maintain,0.829
5,1,0.4094549999999999,2.740185000000001,2.3307300000000013,11,Slow down,0.726
6,0,-0.09999999999999964,4.288275000000001,4.388275000000001,87,Accelerate,0.641
7,2,0.0,5.0,5.0,60,Maintain,0.625
8,2,0.0,5.0,5.0,35,Maintain,0.3380000000000001
9,1,-0.09999999999999998,0.5163399999999997,0.6163399999999997,44,Accelerate,0.3039999999999998
10,0,0.0,5.0,5.0,28,Maintain,0.10000000000000009
11,2,0.0,5.0,5.0,25,Maintain,0.08400000000000007
3,1,-0.09999999999999998,0.7,0.7999999999999999,109,Accelerate,0.9309999999999998
